Organism	Model_ID	CheckSBML	Primary_Format	source_SBML	Other_Formats	Genes	Rxns	Mets	Publication_date	Available_file	version_control	Import/Export	Objective	biomassRxn	growth	Comparison_date	Elapsed_time	citations_google	Annual_average	MEMOTE	SBML_version	unbounded_flux	met_annotation	rxn_annotation	genes_annotation	rxns_without_GPR	rxns_without_GPR_percent	blocked_rxns	blocked_rxns_percent	dead_end_mets	dead_end_mets_percent	annotation_met_score	annotation_rxn_score	annotation_gene_score	annotation_SBO_score	MEMOTE_score	link_model	link_publication	Other DBs	external	public_DB
S. cerevisiae	iFF708	Warnings	NA	NO	SBML	619	1379	796	11/25/02	YES	NO	YES	YES	YES	YES	12/8/19	17.04657534	"1,158"	67.93153327	Passed	3.1	0.283	NA	NA	NA	225	0.163161711	318	0.230601885	82	0.103015075	25	25	0	0	28	not any more	https://genome.cshlp.org/content/13/2/244.short	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iFF708.xml	openCOBRA	YES
S. cerevisiae	iND750	Warnings	SBML	YES	SBML	750	1266	1061	12/8/03	YES	NO	YES	YES	YES	YES	12/8/19	16.0109589	708	44.21971253	Passed	3.1	0.17	NA	NA	NA	340	0.268562401	522	0.412322275	85	0.080113101	25	25	0	0	41	http://systemsbiology.ucsd.edu/sites/systemsbiology.ucsd.edu/files/Attachments/Images/InSilicoOrganisms/yeast/Sc_iND750.xml	https://genome.cshlp.org/content/14/7/1298.short	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iND750.xml	openCOBRA	YES
S. cerevisiae	iLL672	NA	XLS	NO	NA	672	1038	636	3/30/05	YES	NO	NA	NA	NA	NA	12/8/19	14.70136986	269	18.29761461	NA	NA	NA	NA	NA	NA	NA	#VALUE!	NA	#VALUE!	NA	#VALUE!	NA	NA	NA	NA	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240085/bin/genores_15_10_1421__15_Juni_APPENDIX.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240085/	https://github.com/opencobra/m_model_collection/blob/master/xls/iLL672.xls	openCOBRA	YES
S. cerevisiae	iMH805/775	NA	XLS	NO	NA	805	NA	NA	2/23/06	YES	NO	NA	NA	NA	NA	12/8/19	13.79726027	255	18.4819301	NA	NA	NA	NA	NA	NA	NA	#VALUE!	NA	#VALUE!	NA	#VALUE!	NA	NA	NA	NA	NA	https://genome.cshlp.org/content/suppl/2006/04/10/gr.4083206.DC1/iMH805_775_regnetwork.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1457053/	NA	None	NO
S. cerevisiae	iIN800	Warnings	pdf	NO	SBML	800	1706	985	8/7/08	YES	NO	YES	YES	YES	YES	12/8/19	11.34246575	167	14.72342995	Not passed		NA	NA	NA	NA	NA	#VALUE!	NA	#VALUE!	NA	#VALUE!	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-2-71/MediaObjects/12918_2008_228_MOESM7_ESM.pdf	https://bmcsystbiol.biomedcentral.com/articles/10.1186/1752-0509-2-71	http://biomet-toolbox.chalmers.se/models/SBML/iIN800_sbml.xml	biomet	YES
S. cerevisiae	yeast 1	Warnings	SBML	YES	SBML	707	1857	2152	10/9/08	YES	NO	YES	NO	NO	NO	12/8/19	11.16986301	571	51.11969585	Passed	2.3	NA	NA	NA	NA	1857	1	NA	#VALUE!	0	0	50	50	0	36	43	http://www.comp-sys-bio.org/yeastnet/v1/YeastMetabolicNetwork-1.0.xml	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4018421/	https://sourceforge.net/projects/yeast/files/yeast_1.0.zip/download	yeastnet	YES
S. cerevisiae	yeast 2	Warnings	SBML	YES	NA	NA	2576	3049	NA	YES	NO	YES	NO	NO	NO	12/8/19	#VALUE!	NA	NA	Passed	2.4	NA	NA	NA	NA	2576	1	NA	#VALUE!	0	0	25	50	0	27	33	http://www.comp-sys-bio.org/yeastnet/v2/yeast_2.01.xml	not published	https://sourceforge.net/projects/yeast/files/yeast_2.01.zip/download	yeastnet	YES
S. cerevisiae	yeast 3	YES	SBML	YES	NA	NA	2828	1331	NA	YES	NO	YES	NO	YES	NO	12/8/19	#VALUE!	NA	NA	Passed	2.4	NA	NA	NA	NA	2803	0.99115983	NA	#VALUE!	0	0	25	50	0	36	38	http://www.comp-sys-bio.org/yeastnet/yeast_3.0.xml	not published	https://sourceforge.net/projects/yeast/files/yeast_3.01.zip/download	yeastnet	YES
S. cerevisiae	iMM904	Warnings	SBML	YES	SBML	905	1577	1228	3/23/09	YES	NO	YES	YES	YES	YES	12/8/19	10.71780822	403	37.60097137	Passed	3.1	0.238	NA	NA	NA	370	0.234622701	553	0.350665821	96	0.078175896	25	25	0	0	36	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2679711/bin/1752-0509-3-37-S1.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2679711/	https://github.com/opencobra/m_model_collection/raw/master/sbml3/iMM904.xml	openCOBRA	YES
S. cerevisiae	yeast 4	Warnings	SBML	YES	NA	NA	1865	1319	10/28/10	YES	NO	YES	YES	YES	YES	12/8/19	9.117808219	102	11.18689904	Passed	2.4	NA	NA	NA	NA	1069	0.573190349	NA	#VALUE!	53	0.040181956	25	50	0	34	38	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2988745/bin/1752-0509-4-145-S1.ZIP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2988745/	https://sourceforge.net/projects/yeast/files/yeast_4.05.zip/download	yeastnet	YES
