Organism	Model_ID	Genes	Rxns	Mets	Primary_Format	source_SBML	external_DB	Available_file	available_SBML	version_control	Import/Export	Objective	biomassRxn	growth	Ready to use	Publication_date	Comparison_date	Elapsed_time	citations_google	Annual_average	MEMOTE_test	SBML_version	unbounded_flux	met_annotation	rxn_annotation	genes_annotation	rxns_without_GPR	rxns_without_GPR_percent	blocked_rxns	blocked_rxns_percent	dead_end_mets	dead_end_mets_percent	annotation_met_score	annotation_rxn_score	annotation_gene_score	annotation_SBO_score	MEMOTE_score	link_model	link_publication	external_DB_link
S. cerevisiae	iFF708	619	1379	796	NA	NO	openCOBRA	YES	YES	NO	YES	YES	YES	YES	YES	11/25/02	11/07/20	17.96438356	"1,192"	66.35351533	Accomplished	3.1	0.283	NO	NO	NO	225	0.163161711	318	0.230601885	82	0.103015075	25	25	0	0	28	not any more	https://genome.cshlp.org/content/13/2/244.short	https://github.com/opencobra/m_model_collection/blob/master/xls/iLL672.xls
S. cerevisiae	iND750	750	1266	1061	SBML	YES	openCOBRA	YES	YES	NO	YES	YES	YES	YES	YES	12/08/03	11/07/20	16.92876712	735	43.41721961	Accomplished	3.1	0.17	NO	NO	NO	340	0.268562401	522	0.412322275	85	0.080113101	25	25	0	0	41	http://systemsbiology.ucsd.edu/sites/systemsbiology.ucsd.edu/files/Attachments/Images/InSilicoOrganisms/yeast/Sc_iND750.xml	https://genome.cshlp.org/content/14/7/1298.short	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iND750.xml
S. cerevisiae	iLL672	672	1038	636	XLS	NO	openCOBRA	YES	NO	NO	NA	NA	NA	NA	NO	3/30/05	11/07/20	15.61917808	275	17.60656025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240085/bin/genores_15_10_1421__15_Juni_APPENDIX.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240085/	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iPP668.xml
S. cerevisiae	iMH805/775	805	NA	NA	XLS	NO	None	YES	NO	NO	NA	NA	NA	NA	NO	2/23/06	11/07/20	14.71506849	261	17.7369205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://genome.cshlp.org/content/suppl/2006/04/10/gr.4083206.DC1/iMH805_775_regnetwork.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1457053/	NA
S. cerevisiae	iIN800	800	1706	985	pdf	NO	biomet	YES	YES	NO	YES	YES	YES	YES	YES	08/07/08	11/07/20	12.26027397	172	14.02905028	Not accomplished		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-2-71/MediaObjects/12918_2008_228_MOESM7_ESM.pdf	https://bmcsystbiol.biomedcentral.com/articles/10.1186/1752-0509-2-71	NA
S. cerevisiae	yeast 1	707	1857	2152	SBML	YES	yeastnet	YES	YES	NO	YES	NO	NO	NO	NO	10/09/08	11/07/20	12.08767123	586	48.47914778	Accomplished	2.3	NA	NO	NO	NO	1857	1	NA	NA	0	0	50	50	0	36	43	http://www.comp-sys-bio.org/yeastnet/v1/YeastMetabolicNetwork-1.0.xml	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4018421/	https://sourceforge.net/projects/yeast/files/yeast_1.0.zip/download
S. cerevisiae	yeast 2	NA	2576	3049	SBML	YES	yeastnet	YES	YES	NO	YES	NO	NO	NO	NO	NA	11/07/20	NA	NA	NA	Accomplished	2.4	NA	NO	NO	NO	2576	1	NA	NA	0	0	25	50	0	27	33	http://www.comp-sys-bio.org/yeastnet/v2/yeast_2.01.xml	not published	https://sourceforge.net/projects/yeast/files/yeast_2.01.zip/download
S. cerevisiae	yeast 3	NA	2828	1331	SBML	YES	yeastnet	YES	YES	NO	YES	NO	YES	NO	NO	NA	11/07/20	NA	NA	NA	Accomplished	2.4	NA	NO	NO	NO	2803	0.99115983	NA	NA	0	0	25	50	0	36	38	http://www.comp-sys-bio.org/yeastnet/yeast_3.0.xml	not published	https://sourceforge.net/projects/yeast/files/yeast_3.01.zip/download
S. cerevisiae	iMM904	905	1577	1228	SBML	YES	openCOBRA	YES	YES	NO	YES	YES	YES	YES	YES	3/23/09	11/07/20	11.63561644	423	36.35389687	Accomplished	3.1	0.238	NO	NO	NO	370	0.234622701	553	0.350665821	96	0.078175896	25	25	0	0	36	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2679711/bin/1752-0509-3-37-S1.xls	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2679711/	https://github.com/opencobra/m_model_collection/raw/master/sbml3/iMM904.xml
S. cerevisiae	yeast 4	NA	1865	1319	SBML	YES	yeastnet	YES	YES	NO	YES	YES	YES	YES	YES	10/28/10	11/07/20	10.03561644	105	10.46273546	Accomplished	2.4	NA	NO	NO	NO	1069	0.573190349	NA	NA	53	0.040181956	25	50	0	34	38	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2988745/bin/1752-0509-4-145-S1.ZIP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2988745/	https://sourceforge.net/projects/yeast/files/yeast_4.05.zip/download
