org	model_id	format
S. cerevisiae	iFF708	SBML
S. cerevisiae	iND750	SBML
S. cerevisiae	iLL672	XLS
S. cerevisiae	iMH805/775	XLS
S. cerevisiae	iIN800	SBML
S. cerevisiae	yeast_1	SBML
S. cerevisiae	iMM904	SBML
S. cerevisiae	yeast_2.01	SBML
S. cerevisiae	yeast_3.01	SBML
S. cerevisiae	yeast_4.05	SBML
S. cerevisiae	iAZ900	SBML
S. cerevisiae	yeast_5.01	SBML
S. cerevisiae	yeast_6.06	SBML
S. cerevisiae	yeast_7.6	SBML
S. cerevisiae	iSce926	SBML
S. cerevisiae	iSc-AMRS-1	XLS
S. cerevisiae	Yeast_7_Fe	SBML
S. cerevisiae	yeastGEM	SBML
P. pastoris	iPP668	SBML
P. pastoris	Ppambel1254	SBML
P. pastoris	iLC915	SBML
P. pastoris	iMT1026	SBML
P. pastoris	Kp.1.0	SBML
P. pastoris	ihGlycopastoris	SBML
P. pastoris	iMT1026V3	SBML
Y. lipolytica	iNL895	SBML
Y. lipolytica	iMK735	SBML
Y. lipolytica	iYL619_PCP	SBML
Y. lipolytica	iYali4	SBML
Y. lipolytica	iYLI647	SBML
S. stipitis	iBB814	XLS
S. stipitis	iSS884	SBML
S. stipitis	iTL885	SBML
R. toruloides	Rhodosporidium_toruloides_reduced	DOCX
R. toruloides	rhto_GEM	SBML
R. toruloides	Rhodosporidium_toruloides_reduced_lipid	NA
S. pombe	SpoMBEL1693	SBML
C. glabrata	iNX804	SBML
K. lactis	iOD907	SBML
C. tropicalis	iCT646	SBML
Z. parabailii	ZyPa1	NA
K. marxianus	Kmar	SBML	
